Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     87.85     0.00       57     0.00     0.00  enterid(char const*, int, int, idrec**, int, int)
  0.00     87.85     0.00       57     0.00     0.00  idrec::set(char const*, int, int, int)
  0.00     87.85     0.00       52     0.00     0.00  npRead(char const*, snumber**, n_Procs_s*)
  0.00     87.85     0.00       52     0.00     0.00  p_Read(char const*, spolyrec*&, ip_sring*)
  0.00     87.85     0.00       52     0.00     0.00  p_mInit(char const*, int&, ip_sring*)
  0.00     87.85     0.00       52     0.00     0.00  check_valid(int, int)
  0.00     87.85     0.00       52     0.00     0.00  _omVallocFromSystem
  0.00     87.85     0.00       52     0.00     0.00  omAllocNewBinPagesRegion
  0.00     87.85     0.00       52     0.00     0.00  omVallocMmap
  0.00     87.85     0.00       51     0.00     0.00  blackboxIsCmd(char const*, int&)
  0.00     87.85     0.00       50     0.00     0.00  iiExprArith2(sleftv*, sleftv*, int, sleftv*, int)
  0.00     87.85     0.00       50     0.00     0.00  jjCALL1MANY(sleftv*, sleftv*)
  0.00     87.85     0.00       50     0.00     0.00  jjFACSTD(sleftv*, sleftv*)
  0.00     87.85     0.00       49     0.00     0.00  jjPLUS_P(sleftv*, sleftv*, sleftv*)
  0.00     87.85     0.00       36     0.00     0.00  pEnlargeSet(spolyrec***, int, int)
  0.00     87.85     0.00       36     0.00     0.00  ray::swap(ray&)
  0.00     87.85     0.00       36     0.00     0.00  edge::edge(edge const&)
  0.00     87.85     0.00       35     0.00     0.00  idrecDataInit(int)
  0.00     87.85     0.00       31     0.00     0.00  iiInitSingularProcinfo(procinfo*, char const*, char const*, int, long, int)
  0.00     87.85     0.00       31     0.00     0.00  feCleanUpFile(char*)
  0.00     87.85     0.00       31     0.00     0.00  omFreeSizeToSystem
  0.00     87.85     0.00       31     0.00     0.00  omVfreeToSystem
  0.00     87.85     0.00       30     0.00     0.00  feReadLine(char*, int)
  0.00     87.85     0.00       30     0.00     0.00  GetDynamicProc(char const*, p_Proc, p_Field, p_Length, p_Ord)
  0.00     87.85     0.00       30     0.00     0.00  yy_get_next_buffer()
  0.00     87.85     0.00       30     0.00     0.00  dynl_sym
  0.00     87.85     0.00       27     0.00     0.00  yy_get_previous_state()
  0.00     87.85     0.00       16     0.00     0.00  feStringAppendBrowsers(int)
  0.00     87.85     0.00       15     0.00     0.00  omSizeOfAddr
  0.00     87.85     0.00       12     0.00     0.00  myfread(void*, unsigned long, unsigned long, _IO_FILE*)
  0.00     87.85     0.00       12     0.00     0.00  omAllocLarge
  0.00     87.85     0.00       12     0.00     0.00  omFreeLarge
  0.00     87.85     0.00        9     0.00     0.00  _GLOBAL__sub_I_sSubexpr_bin
  0.00     87.85     0.00        9     0.00     0.00  yy_get_previous_state()
  0.00     87.85     0.00        9     0.00     0.00  ray::ray(unsigned long, long)
  0.00     87.85     0.00        9     0.00     0.00  std::_Rb_tree<ray, ray, std::_Identity<ray>, std::less<ray>, std::allocator<ray> >::_M_insert_unique(ray const&)
